idx|::|node_id|::|title|::|authors|::|date|::|arxiv_uri
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
1|::|9301253|::|Scalar Mesons in $φ$ Radiative Decay: their implications for spectroscopy and for studies of CP-violation at $φ$ factories|::|F. E. Close;Nathan Isgur;S. Kumano|::|1993-01-21T11:20:00+00:00|::|http://arxiv.org/abs/hep-ph/9301253v1
2|::|9504304|::|U(2)_{L}\times U(2)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-04-14T14:20:48+00:00|::|http://arxiv.org/abs/hep-ph/9504304v1
3|::|9505235|::|U(3)_{L}\times U(3)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-05-05T01:24:41+00:00|::|http://arxiv.org/abs/hep-ph/9505235v1
4|::|9506257|::|The decay $ρ^0 \to π^+ π^- γ$ and the chiral invariant interactions of vector mesons|::|K. Huber;H. Neufeld|::|1995-06-07T15:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9506257v1
5|::|9606402|::|Theory of tau mesonic decays|::|Bing An Li|::|1996-06-21T13:24:09+00:00|::|http://arxiv.org/abs/hep-ph/9606402v3
6|::|9607354|::|Tau mesonic decays and strong anomaly of PCAC|::|Bing An Li|::|1996-07-17T15:36:33+00:00|::|http://arxiv.org/abs/hep-ph/9607354v1
7|::|9611297|::|Electromagnetic mass splittings of $π, a_1, K, K_1(1400)$ and $K^*(892)$|::|Dao-Neng Gao;Bing An Li;Mu-Lin Yan|::|1996-11-11T09:16:56+00:00|::|http://arxiv.org/abs/hep-ph/9611297v2
8|::|9702314|::|Chiral Symmetry Amplitudes in the S-Wave Isoscalar and Isovector Channels and the σ, f_0(980), a_0(980) Scalar Mesons|::|J. A. Oller;E. Oset|::|1997-02-12T16:42:04+00:00|::|http://arxiv.org/abs/hep-ph/9702314v2
9|::|9704296|::|Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of Mesons|::|Xiao-Jun Wang;Mu-Lin Yan|::|1997-04-11T13:33:18+00:00|::|http://arxiv.org/abs/hep-ph/9704296v2
10|::|9803214|::|The phi --> gamma K0 bar(K0) Decay|::|J. A. Oller|::|1998-03-02T12:34:43+00:00|::|http://arxiv.org/abs/hep-ph/9803214v1
11|::|9903217|::|Radiative decay of rho^0 and phi mesons in a chiral unitary approach|::|E. Marco;S. Hirenzaki;E. Oset;H. Toki|::|1999-03-01T17:01:59+00:00|::|http://arxiv.org/abs/hep-ph/9903217v2
12|::|9311274|::|On the Foundations of Chiral Perturbation Theory|::|H. Leutwyler|::|1993-11-11T15:42:24+00:00|::|http://arxiv.org/abs/hep-ph/9311274v1
13|::|9502335|::|Chiral Lagrangians and Nambu-Jona-Lasinio like models|::|Johan Bijnens|::|1995-02-17T09:23:21+00:00|::|http://arxiv.org/abs/hep-ph/9502335v1
14|::|9611296|::|Electromagnetic Masses of the Massive Yang-Mills Particles K^*(892)|::|Mu-Lin Yan;Dao-Neng Gao|::|1996-11-11T09:17:39+00:00|::|http://arxiv.org/abs/hep-ph/9611296v1
15|::|9612258|::|Dashen's theorem and electromagnetic masses of the mesons|::|Dao-Neng Gao;Mu-Lin Yan;Bing-An Li|::|1996-12-05T10:41:59+00:00|::|http://arxiv.org/abs/hep-ph/9612258v2
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
1|::|9301253|::|Scalar Mesons in $φ$ Radiative Decay: their implications for spectroscopy and for studies of CP-violation at $φ$ factories|::|F. E. Close;Nathan Isgur;S. Kumano|::|1993-01-21T11:20:00+00:00|::|http://arxiv.org/abs/hep-ph/9301253v1
2|::|9504304|::|U(2)_{L}\times U(2)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-04-14T14:20:48+00:00|::|http://arxiv.org/abs/hep-ph/9504304v1
3|::|9505235|::|U(3)_{L}\times U(3)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-05-05T01:24:41+00:00|::|http://arxiv.org/abs/hep-ph/9505235v1
4|::|9506257|::|The decay $ρ^0 \to π^+ π^- γ$ and the chiral invariant interactions of vector mesons|::|K. Huber;H. Neufeld|::|1995-06-07T15:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9506257v1
5|::|9606402|::|Theory of tau mesonic decays|::|Bing An Li|::|1996-06-21T13:24:09+00:00|::|http://arxiv.org/abs/hep-ph/9606402v3
6|::|9607354|::|Tau mesonic decays and strong anomaly of PCAC|::|Bing An Li|::|1996-07-17T15:36:33+00:00|::|http://arxiv.org/abs/hep-ph/9607354v1
7|::|9611297|::|Electromagnetic mass splittings of $π, a_1, K, K_1(1400)$ and $K^*(892)$|::|Dao-Neng Gao;Bing An Li;Mu-Lin Yan|::|1996-11-11T09:16:56+00:00|::|http://arxiv.org/abs/hep-ph/9611297v2
8|::|9702314|::|Chiral Symmetry Amplitudes in the S-Wave Isoscalar and Isovector Channels and the σ, f_0(980), a_0(980) Scalar Mesons|::|J. A. Oller;E. Oset|::|1997-02-12T16:42:04+00:00|::|http://arxiv.org/abs/hep-ph/9702314v2
9|::|9704296|::|Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of Mesons|::|Xiao-Jun Wang;Mu-Lin Yan|::|1997-04-11T13:33:18+00:00|::|http://arxiv.org/abs/hep-ph/9704296v2
10|::|9803214|::|The phi --> gamma K0 bar(K0) Decay|::|J. A. Oller|::|1998-03-02T12:34:43+00:00|::|http://arxiv.org/abs/hep-ph/9803214v1
11|::|9903217|::|Radiative decay of rho^0 and phi mesons in a chiral unitary approach|::|E. Marco;S. Hirenzaki;E. Oset;H. Toki|::|1999-03-01T17:01:59+00:00|::|http://arxiv.org/abs/hep-ph/9903217v2
12|::|9311274|::|On the Foundations of Chiral Perturbation Theory|::|H. Leutwyler|::|1993-11-11T15:42:24+00:00|::|http://arxiv.org/abs/hep-ph/9311274v1
13|::|9502335|::|Chiral Lagrangians and Nambu-Jona-Lasinio like models|::|Johan Bijnens|::|1995-02-17T09:23:21+00:00|::|http://arxiv.org/abs/hep-ph/9502335v1
14|::|9611296|::|Electromagnetic Masses of the Massive Yang-Mills Particles K^*(892)|::|Mu-Lin Yan;Dao-Neng Gao|::|1996-11-11T09:17:39+00:00|::|http://arxiv.org/abs/hep-ph/9611296v1
15|::|9612258|::|Dashen's theorem and electromagnetic masses of the mesons|::|Dao-Neng Gao;Mu-Lin Yan;Bing-An Li|::|1996-12-05T10:41:59+00:00|::|http://arxiv.org/abs/hep-ph/9612258v2
16|::|9301203|::|Measuring the Wess-Zumino Anomaly in Tau Decays|::|R. Decker;E. Mirkes|::|1993-01-04T15:05:00+00:00|::|http://arxiv.org/abs/hep-ph/9301203v2
17|::|9301206|::|Implications of $τ$ Decays into Strange Scalar and Axial Vector Mesons|::|Harry J. Lipkin|::|1993-01-05T14:25:00+00:00|::|http://arxiv.org/abs/hep-ph/9301206v1
18|::|9502274|::|Properties of the a1 Meson from Lattice QCD|::|Matthew Wingate;Thomas DeGrand;Sara Collins;Urs M. Heller|::|1995-02-10T21:47:28+00:00|::|http://arxiv.org/abs/hep-ph/9502274v2
19|::|9503474|::|Tau Decays into Kaons|::|Markus Finkemeier;Erwin Mirkes|::|1995-03-30T15:40:35+00:00|::|http://arxiv.org/abs/hep-ph/9503474v2
20|::|9302247|::|Recent Developments in Chiral Perturbation Theory|::|Ulf-G. Meißner|::|1993-02-11T10:18:01+00:00|::|http://arxiv.org/abs/hep-ph/9302247v1
21|::|9501357|::|Chiral perturbation theory|::|Gerhard Ecker|::|1995-01-23T10:32:54+00:00|::|http://arxiv.org/abs/hep-ph/9501357v1
22|::|9501384|::|Chiral Dynamics in Nucleons and Nuclei|::|V. Bernard;N. Kaiser;Ulf-G. Meißner|::|1995-01-26T12:54:43+00:00|::|http://arxiv.org/abs/hep-ph/9501384v1
23|::|9502366|::|Chiral Perturbation Theory|::|A. Pich|::|1995-02-22T14:19:34+00:00|::|http://arxiv.org/abs/hep-ph/9502366v1
24|::|9504372|::|UNDERSTANDING THE SCALAR MESON $q\bar q$ NONET|::|Nils A. Törnqvist|::|1995-04-24T10:34:40+00:00|::|http://arxiv.org/abs/hep-ph/9504372v1
25|::|9511210|::|Resurrection of the Sigma Meson|::|Nils A. Tornqvist;Matts Roos|::|1995-11-02T07:11:52+00:00|::|http://arxiv.org/abs/hep-ph/9511210v1
26|::|9610453|::|Nonet Classification of Scalar/Isoscalar Resonances in the Mass Region below 1900 MeV: Observation of the Lightest Scalar Glueball|::|A. V. Anisovich;V. V. Anisovich;Yu. D. Prokoshkin;A. V. Sarantsev|::|1996-10-23T07:55:00+00:00|::|http://arxiv.org/abs/hep-ph/9610453v1
27|::|9706487|::|Theoretical Study of the γγ-->meson-meson Reaction|::|J. A. Oller;E. Oset|::|1997-06-24T14:41:37+00:00|::|http://arxiv.org/abs/hep-ph/9706487v2
28|::|9211239|::|Effective Hadron Dynamics: From Meson Masses to the Proton Spin Puzzle|::|J. Schechter;A. Subbaraman;H. Weigel|::|1992-11-11T20:28:00+00:00|::|http://arxiv.org/abs/hep-ph/9211239v1
29|::|9302217|::|Violations of Dashen's Theorem|::|J. Bijnens|::|1993-02-04T12:07:47+00:00|::|http://arxiv.org/abs/hep-ph/9302217v2
30|::|9405341|::|Virtual Photons in Chiral Perturbation Theory|::|R. Urech|::|1994-05-20T11:08:05+00:00|::|http://arxiv.org/abs/hep-ph/9405341v2
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
1|::|9301253|::|Scalar Mesons in $φ$ Radiative Decay: their implications for spectroscopy and for studies of CP-violation at $φ$ factories|::|F. E. Close;Nathan Isgur;S. Kumano|::|1993-01-21T11:20:00+00:00|::|http://arxiv.org/abs/hep-ph/9301253v1
2|::|9504304|::|U(2)_{L}\times U(2)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-04-14T14:20:48+00:00|::|http://arxiv.org/abs/hep-ph/9504304v1
3|::|9505235|::|U(3)_{L}\times U(3)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-05-05T01:24:41+00:00|::|http://arxiv.org/abs/hep-ph/9505235v1
4|::|9506257|::|The decay $ρ^0 \to π^+ π^- γ$ and the chiral invariant interactions of vector mesons|::|K. Huber;H. Neufeld|::|1995-06-07T15:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9506257v1
5|::|9606402|::|Theory of tau mesonic decays|::|Bing An Li|::|1996-06-21T13:24:09+00:00|::|http://arxiv.org/abs/hep-ph/9606402v3
6|::|9607354|::|Tau mesonic decays and strong anomaly of PCAC|::|Bing An Li|::|1996-07-17T15:36:33+00:00|::|http://arxiv.org/abs/hep-ph/9607354v1
7|::|9611297|::|Electromagnetic mass splittings of $π, a_1, K, K_1(1400)$ and $K^*(892)$|::|Dao-Neng Gao;Bing An Li;Mu-Lin Yan|::|1996-11-11T09:16:56+00:00|::|http://arxiv.org/abs/hep-ph/9611297v2
8|::|9702314|::|Chiral Symmetry Amplitudes in the S-Wave Isoscalar and Isovector Channels and the σ, f_0(980), a_0(980) Scalar Mesons|::|J. A. Oller;E. Oset|::|1997-02-12T16:42:04+00:00|::|http://arxiv.org/abs/hep-ph/9702314v2
9|::|9704296|::|Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of Mesons|::|Xiao-Jun Wang;Mu-Lin Yan|::|1997-04-11T13:33:18+00:00|::|http://arxiv.org/abs/hep-ph/9704296v2
10|::|9803214|::|The phi --> gamma K0 bar(K0) Decay|::|J. A. Oller|::|1998-03-02T12:34:43+00:00|::|http://arxiv.org/abs/hep-ph/9803214v1
11|::|9903217|::|Radiative decay of rho^0 and phi mesons in a chiral unitary approach|::|E. Marco;S. Hirenzaki;E. Oset;H. Toki|::|1999-03-01T17:01:59+00:00|::|http://arxiv.org/abs/hep-ph/9903217v2
12|::|9311274|::|On the Foundations of Chiral Perturbation Theory|::|H. Leutwyler|::|1993-11-11T15:42:24+00:00|::|http://arxiv.org/abs/hep-ph/9311274v1
13|::|9502335|::|Chiral Lagrangians and Nambu-Jona-Lasinio like models|::|Johan Bijnens|::|1995-02-17T09:23:21+00:00|::|http://arxiv.org/abs/hep-ph/9502335v1
14|::|9611296|::|Electromagnetic Masses of the Massive Yang-Mills Particles K^*(892)|::|Mu-Lin Yan;Dao-Neng Gao|::|1996-11-11T09:17:39+00:00|::|http://arxiv.org/abs/hep-ph/9611296v1
15|::|9612258|::|Dashen's theorem and electromagnetic masses of the mesons|::|Dao-Neng Gao;Mu-Lin Yan;Bing-An Li|::|1996-12-05T10:41:59+00:00|::|http://arxiv.org/abs/hep-ph/9612258v2
16|::|9301203|::|Measuring the Wess-Zumino Anomaly in Tau Decays|::|R. Decker;E. Mirkes|::|1993-01-04T15:05:00+00:00|::|http://arxiv.org/abs/hep-ph/9301203v2
17|::|9301206|::|Implications of $τ$ Decays into Strange Scalar and Axial Vector Mesons|::|Harry J. Lipkin|::|1993-01-05T14:25:00+00:00|::|http://arxiv.org/abs/hep-ph/9301206v1
18|::|9502274|::|Properties of the a1 Meson from Lattice QCD|::|Matthew Wingate;Thomas DeGrand;Sara Collins;Urs M. Heller|::|1995-02-10T21:47:28+00:00|::|http://arxiv.org/abs/hep-ph/9502274v2
19|::|9503474|::|Tau Decays into Kaons|::|Markus Finkemeier;Erwin Mirkes|::|1995-03-30T15:40:35+00:00|::|http://arxiv.org/abs/hep-ph/9503474v2
20|::|9302247|::|Recent Developments in Chiral Perturbation Theory|::|Ulf-G. Meißner|::|1993-02-11T10:18:01+00:00|::|http://arxiv.org/abs/hep-ph/9302247v1
21|::|9501357|::|Chiral perturbation theory|::|Gerhard Ecker|::|1995-01-23T10:32:54+00:00|::|http://arxiv.org/abs/hep-ph/9501357v1
22|::|9501384|::|Chiral Dynamics in Nucleons and Nuclei|::|V. Bernard;N. Kaiser;Ulf-G. Meißner|::|1995-01-26T12:54:43+00:00|::|http://arxiv.org/abs/hep-ph/9501384v1
23|::|9502366|::|Chiral Perturbation Theory|::|A. Pich|::|1995-02-22T14:19:34+00:00|::|http://arxiv.org/abs/hep-ph/9502366v1
24|::|9504372|::|UNDERSTANDING THE SCALAR MESON $q\bar q$ NONET|::|Nils A. Törnqvist|::|1995-04-24T10:34:40+00:00|::|http://arxiv.org/abs/hep-ph/9504372v1
25|::|9511210|::|Resurrection of the Sigma Meson|::|Nils A. Tornqvist;Matts Roos|::|1995-11-02T07:11:52+00:00|::|http://arxiv.org/abs/hep-ph/9511210v1
26|::|9610453|::|Nonet Classification of Scalar/Isoscalar Resonances in the Mass Region below 1900 MeV: Observation of the Lightest Scalar Glueball|::|A. V. Anisovich;V. V. Anisovich;Yu. D. Prokoshkin;A. V. Sarantsev|::|1996-10-23T07:55:00+00:00|::|http://arxiv.org/abs/hep-ph/9610453v1
27|::|9706487|::|Theoretical Study of the γγ-->meson-meson Reaction|::|J. A. Oller;E. Oset|::|1997-06-24T14:41:37+00:00|::|http://arxiv.org/abs/hep-ph/9706487v2
28|::|9211239|::|Effective Hadron Dynamics: From Meson Masses to the Proton Spin Puzzle|::|J. Schechter;A. Subbaraman;H. Weigel|::|1992-11-11T20:28:00+00:00|::|http://arxiv.org/abs/hep-ph/9211239v1
29|::|9302217|::|Violations of Dashen's Theorem|::|J. Bijnens|::|1993-02-04T12:07:47+00:00|::|http://arxiv.org/abs/hep-ph/9302217v2
30|::|9405341|::|Virtual Photons in Chiral Perturbation Theory|::|R. Urech|::|1994-05-20T11:08:05+00:00|::|http://arxiv.org/abs/hep-ph/9405341v2
31|::|9409335|::|The Strange Quark Mass from QCD Sum Rules|::|Matthias Jamin;Manfred M"unz|::|1994-09-15T21:46:05+00:00|::|http://arxiv.org/abs/hep-ph/9409335v2
32|::|9409371|::|Mass singularities in light quark correlators: the strange quark case|::|K. G. Chetyrkin;C. A. Dominguez;D. Pirjol;K. Schilcher|::|1994-09-21T14:08:57+00:00|::|http://arxiv.org/abs/hep-ph/9409371v1
33|::|9411285|::|Light Quark Masses from QCD|::|Johan Bijnens;Joaquim Prades;Eduardo de Rafael|::|1994-11-14T10:17:58+00:00|::|http://arxiv.org/abs/hep-ph/9411285v1
34|::|9508393|::|On the Corrections to Dashen's Theorem|::|Robert Baur;Res Urech|::|1995-08-29T16:19:45+00:00|::|http://arxiv.org/abs/hep-ph/9508393v2
35|::|9602366|::|The ratios of the light quark masses|::|H. Leutwyler|::|1996-02-22T09:45:16+00:00|::|http://arxiv.org/abs/hep-ph/9602366v1
36|::|9606210|::|Effective Chiral theory of Mesons|::|Bing An Li|::|1996-06-03T19:17:01+00:00|::|http://arxiv.org/abs/hep-ph/9606210v1
37|::|9610360|::|Electromagnetic Corrections for Pions and Kaons : Masses and Polarizabilities|::|Johan Bijnens;Joaquim Prades|::|1996-10-15T09:11:40+00:00|::|http://arxiv.org/abs/hep-ph/9610360v2
38|::|9605245|::|Production of scalar $K\bar K$ molecules in $φ$ radiative decays|::|N. N. Achasov;V. V. Gubin;V. I. Shevchenko|::|1996-05-07T18:18:33+00:00|::|http://arxiv.org/abs/hep-ph/9605245v1
39|::|9610282|::|The interference in the reaction $e^+e^-\toγπ^+π^-$ and the search for the decay $φ\toγf_0\toγπ^+π^-$|::|N. N. Achasov;V. V. Gubin;E. P. Solodov|::|1996-10-08T08:57:10+00:00|::|http://arxiv.org/abs/hep-ph/9610282v1
40|::|9803242|::|Non-perturbative Approach to effective chiral Lagrangians and Meson Interactions|::|J. A. Oller;E. Oset;J. R. Pelaez|::|1998-03-04T20:00:17+00:00|::|http://arxiv.org/abs/hep-ph/9803242v2
41|::|9804209|::|Meson-Meson interaction in a non-perturbative chiral approach|::|J. A. Oller;E. Oset;J. R. Pelaez|::|1998-04-02T03:38:49+00:00|::|http://arxiv.org/abs/hep-ph/9804209v1
42|::|9805334|::|KK bar scattering amplitude to one loop in chiral perturbation theory, its unitarization and pion form factors|::|Francisco Guerrero;Jose Antonio Oller|::|1998-05-15T09:08:33+00:00|::|http://arxiv.org/abs/hep-ph/9805334v1
43|::|112133|::|Status of the CKM matrix|::|M. Ciuchini|::|2001-12-10T12:10:38+00:00|::|http://arxiv.org/abs/hep-ph/0112133v1
44|::|2171|::|Determination of the CKM unitarity triangle parameters by end 1999|::|F. Caravaglios;F. Parodi;P. Roudeau;A. Stocchi|::|2000-02-16T11:12:14+00:00|::|http://arxiv.org/abs/hep-ph/0002171v4
45|::|12308|::|2000 CKM-Triangle Analysis A Critical Review with Updated Experimental Inputs and Theoretical Parameters|::|M. Ciuchini;G. D'Agostini;E. Franco;V. Lubicz;G. Martinelli;F. Parodi;P. Roudeau;A. Stocchi|::|2000-12-22T14:27:32+00:00|::|http://arxiv.org/abs/hep-ph/0012308v3
0|::|9907233|::|The Radiative Decay of Vector Mesons|::|T. -L. Zhuang;X. -J. Wang;M. -L. Yan|::|1999-07-05T14:17:06+00:00|::|http://arxiv.org/abs/hep-ph/9907233v3
1|::|9301253|::|Scalar Mesons in $φ$ Radiative Decay: their implications for spectroscopy and for studies of CP-violation at $φ$ factories|::|F. E. Close;Nathan Isgur;S. Kumano|::|1993-01-21T11:20:00+00:00|::|http://arxiv.org/abs/hep-ph/9301253v1
2|::|9504304|::|U(2)_{L}\times U(2)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-04-14T14:20:48+00:00|::|http://arxiv.org/abs/hep-ph/9504304v1
3|::|9505235|::|U(3)_{L}\times U(3)_{R} Chiral Theory of Mesons|::|Bing An Li|::|1995-05-05T01:24:41+00:00|::|http://arxiv.org/abs/hep-ph/9505235v1
4|::|9506257|::|The decay $ρ^0 \to π^+ π^- γ$ and the chiral invariant interactions of vector mesons|::|K. Huber;H. Neufeld|::|1995-06-07T15:02:44+00:00|::|http://arxiv.org/abs/hep-ph/9506257v1
5|::|9606402|::|Theory of tau mesonic decays|::|Bing An Li|::|1996-06-21T13:24:09+00:00|::|http://arxiv.org/abs/hep-ph/9606402v3
6|::|9607354|::|Tau mesonic decays and strong anomaly of PCAC|::|Bing An Li|::|1996-07-17T15:36:33+00:00|::|http://arxiv.org/abs/hep-ph/9607354v1
7|::|9611297|::|Electromagnetic mass splittings of $π, a_1, K, K_1(1400)$ and $K^*(892)$|::|Dao-Neng Gao;Bing An Li;Mu-Lin Yan|::|1996-11-11T09:16:56+00:00|::|http://arxiv.org/abs/hep-ph/9611297v2
8|::|9702314|::|Chiral Symmetry Amplitudes in the S-Wave Isoscalar and Isovector Channels and the σ, f_0(980), a_0(980) Scalar Mesons|::|J. A. Oller;E. Oset|::|1997-02-12T16:42:04+00:00|::|http://arxiv.org/abs/hep-ph/9702314v2
9|::|9704296|::|Chiral Perturbation Theory and U(3)_L\times U(3)_R Chiral Theory of Mesons|::|Xiao-Jun Wang;Mu-Lin Yan|::|1997-04-11T13:33:18+00:00|::|http://arxiv.org/abs/hep-ph/9704296v2
10|::|9803214|::|The phi --> gamma K0 bar(K0) Decay|::|J. A. Oller|::|1998-03-02T12:34:43+00:00|::|http://arxiv.org/abs/hep-ph/9803214v1
